player_id,p_tackled,tklw,def_3rd,mid_3rd,att_3rd,d_tackled,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,intr,tkl_intr,clr,err
1,62,34,18,35,9,24,49,49.0,25,23,4,19,29,91,43,0
2,2,1,2,0,0,2,2,100.0,0,1,0,1,0,2,7,1
3,46,30,17,20,9,19,63,30.2,44,31,1,30,10,56,12,1
4,23,15,9,9,5,4,13,30.8,9,26,3,23,4,27,19,0
5,66,33,29,29,8,32,49,65.3,17,29,13,16,24,90,22,0
6,22,16,4,13,5,4,19,21.1,15,30,1,29,20,42,10,0
7,42,25,19,14,9,17,35,48.6,18,18,3,15,9,51,34,1
8,46,33,31,12,3,26,40,65.0,14,25,11,14,23,69,48,1
9,48,22,23,15,10,20,53,37.7,33,27,11,16,13,61,55,0
10,22,13,16,6,0,11,14,78.6,3,20,13,7,32,54,77,1
11,34,21,21,11,2,20,24,83.3,4,25,15,10,32,66,44,1
12,22,13,9,11,2,9,23,39.1,14,15,6,9,12,34,33,1
13,18,13,13,4,1,8,15,53.3,7,22,10,12,24,42,51,0
14,29,21,20,9,0,15,22,68.2,7,20,8,12,16,45,52,0
15,14,6,10,3,1,6,9,66.7,3,10,7,3,5,19,23,0
16,10,6,3,7,0,4,8,50.0,4,9,3,6,5,15,19,0
17,7,2,3,4,0,2,11,18.2,9,9,3,6,11,18,8,0
18,7,6,0,5,2,1,4,25.0,3,4,1,3,1,8,3,0
19,10,4,3,5,2,4,7,57.1,3,8,1,7,5,15,5,0
20,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0
21,4,2,0,4,0,1,3,33.3,2,5,1,4,3,7,4,0
22,4,3,2,2,0,3,5,60.0,2,6,1,5,1,5,2,0
23,1,1,0,0,1,1,2,50.0,1,1,0,1,0,1,4,0
24,1,1,0,1,0,1,3,33.3,2,1,0,1,1,2,0,0
25,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
28,46,25,10,31,5,21,43,48.8,22,26,8,18,18,64,26,0
29,35,26,14,11,10,17,30,56.7,13,20,1,19,10,45,10,1
30,30,17,19,11,0,11,22,50.0,11,33,13,20,23,53,42,1
31,1,0,1,0,0,1,1,100.0,0,1,0,1,1,2,4,3
32,16,10,3,8,5,8,13,61.5,5,15,1,14,9,25,19,0
33,17,11,6,6,5,2,14,14.3,12,14,3,11,6,23,22,0
34,70,38,38,25,7,44,72,61.1,28,26,7,19,24,94,49,1
35,28,18,7,14,7,15,27,55.6,12,24,12,12,9,37,10,1
36,42,24,29,10,3,18,29,62.1,11,34,23,11,26,68,75,1
37,43,21,26,12,5,26,48,54.2,22,16,9,7,20,63,25,1
38,34,17,15,17,2,12,25,48.0,13,23,13,10,13,47,55,0
39,34,17,17,13,4,13,35,37.1,22,22,8,14,20,54,15,1
40,29,20,15,13,1,18,24,75.0,6,11,6,5,10,39,48,0
41,24,15,11,11,2,14,22,63.6,8,22,16,6,14,38,46,2
42,25,14,15,6,4,8,15,53.3,7,18,4,14,10,35,16,1
43,29,19,11,16,2,11,22,50.0,11,12,4,8,12,41,9,2
44,18,7,11,5,2,9,17,52.9,8,3,1,2,6,24,3,0
45,6,4,0,3,3,4,6,66.7,2,3,0,3,1,7,9,0
46,10,8,3,6,1,4,9,44.4,5,7,3,4,11,21,14,0
47,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0
48,6,4,1,4,1,3,10,30.0,7,8,1,7,0,6,10,0
49,5,1,2,3,0,1,2,50.0,1,4,3,1,1,6,12,1
50,16,9,11,5,0,6,13,46.2,7,10,2,8,6,22,7,0
51,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0
52,2,2,1,1,0,1,3,33.3,2,3,0,3,0,2,1,0
53,1,1,1,0,0,0,0,0.0,0,5,4,1,0,1,3,0
54,0,0,0,0,0,0,3,0.0,3,2,0,2,0,0,0,0
55,2,0,1,1,0,2,4,50.0,2,1,1,0,0,2,7,0
56,2,1,2,0,0,2,5,40.0,3,0,0,0,0,2,4,0
57,1,1,0,0,1,0,2,0.0,2,1,1,0,1,2,2,0
58,1,1,1,0,0,1,1,100.0,0,1,1,0,1,2,1,0
59,1,1,1,0,0,0,0,0.0,0,1,0,1,0,1,1,0
60,2,1,2,0,0,1,2,50.0,1,1,1,0,0,2,0,0
61,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
63,58,42,32,21,5,21,29,72.4,8,45,27,18,40,98,147,0
64,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,11,2
65,69,43,24,35,10,31,58,53.4,27,43,17,26,25,94,65,0
66,58,39,22,30,6,30,45,66.7,15,26,6,20,25,83,34,0
67,33,19,16,16,1,19,24,79.2,5,26,15,11,19,52,90,1
68,48,29,31,11,6,17,27,63.0,10,28,7,21,18,66,69,0
69,47,30,23,15,9,25,43,58.1,18,28,3,25,11,58,26,1
70,60,36,38,18,4,32,48,66.7,16,34,15,19,37,97,94,0
71,9,5,0,6,3,4,11,36.4,7,4,2,2,1,10,11,0
72,37,23,20,13,4,17,33,51.5,16,29,8,21,9,46,43,0
73,20,10,7,6,7,3,13,23.1,10,17,1,16,6,26,4,0
74,18,14,6,8,4,10,26,38.5,16,10,1,9,7,25,6,0
75,11,9,7,3,1,4,5,80.0,1,11,4,7,9,20,42,0
76,27,20,16,8,3,15,20,75.0,5,12,1,11,5,32,15,0
77,13,9,5,6,2,4,8,50.0,4,6,0,6,1,14,4,0
78,13,7,7,6,0,4,5,80.0,1,13,7,6,15,28,23,0
79,7,4,3,2,2,1,3,33.3,2,4,1,3,2,9,5,0
80,9,5,2,5,2,3,5,60.0,2,7,1,6,5,14,3,0
81,23,13,9,11,3,11,18,61.1,7,17,5,12,6,29,19,0
