player_id,games,minutes,mins_per_game,mins_pct,minutes_90s,game_starts,mins_per_start,games_completed,game_subs,mins_per_sub,unused_sub,PPM,onG,onGA,plus_minus,plus_minus_per90,plus_minus_wwo,onxG,onxGA,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wwo
1,36,"2,785",77.0,81.4,30.9,35,79,14,1,37,2,2.5,72,18,54,1.75,-0.1,62.8,23.9,38.9,1.26,0.09
2,34,"3,060",90.0,89.5,34.0,34,90,34,0,0,3,2.56,81,19,62,1.82,0.57,69.8,27.6,42.2,1.24,0.01
3,37,"2,846",77.0,83.2,31.6,34,81,17,3,26,0,2.46,72,18,54,1.71,-0.33,64.8,23.2,41.6,1.32,0.45
4,35,"2,687",77.0,78.6,29.9,34,78,13,1,26,1,2.51,69,19,50,1.67,-0.41,60.1,24.7,35.4,1.18,-0.26
5,32,"2,556",80.0,74.7,28.4,32,80,12,0,0,3,2.47,59,19,40,1.41,-1.4,56.5,23.2,33.3,1.17,-0.26
6,33,"2,656",80.0,77.7,29.5,31,84,18,2,32,2,2.58,73,16,57,1.93,0.75,60.9,22.4,38.5,1.3,0.28
7,30,"2,077",69.0,60.7,23.1,29,71,1,1,19,6,2.5,54,17,37,1.6,-0.41,46.7,19.3,27.4,1.19,-0.13
8,28,"2,268",81.0,66.3,25.2,28,81,14,0,0,6,2.43,53,16,37,1.47,-0.88,50.4,20.8,29.5,1.17,-0.2
9,33,"2,404",73.0,70.3,26.7,27,81,14,6,36,5,2.61,62,15,47,1.76,-0.01,56.0,21.8,34.2,1.28,0.13
10,29,"2,388",82.0,69.8,26.5,26,89,25,3,25,2,2.41,55,19,36,1.36,-1.35,52.2,23.3,28.9,1.09,-0.49
11,23,"1,672",73.0,48.9,18.6,21,79,13,2,4,8,2.52,37,11,26,1.4,-0.71,33.9,12.8,21.1,1.13,-0.21
12,31,"1,639",53.0,47.9,18.2,19,72,5,12,23,3,2.35,46,13,33,1.81,0.09,36.6,14.0,22.6,1.24,0.0
13,25,"1,586",63.0,46.4,17.6,17,86,16,8,16,9,2.68,48,5,43,2.44,1.26,37.8,12.3,25.5,1.45,0.39
14,37,"1,725",47.0,50.4,19.2,14,85,11,23,23,0,2.51,49,8,41,2.14,0.76,41.9,15.3,26.6,1.39,0.3
15,16,904,57.0,26.4,10.0,9,90,8,7,14,22,2.5,26,6,20,1.99,0.31,23.2,11.2,12.1,1.21,-0.05
16,32,955,30.0,27.9,10.6,6,76,2,26,19,4,2.38,26,8,18,1.7,-0.09,24.2,12.9,11.3,1.06,-0.24
17,23,787,34.0,23.0,8.7,6,81,4,17,18,14,2.61,26,3,23,2.63,1.13,18.5,7.9,10.6,1.22,-0.03
18,23,763,33.0,22.3,8.5,6,77,3,17,18,10,2.22,16,4,12,1.42,-0.45,18.7,6.9,11.9,1.4,0.2
19,27,801,30.0,23.4,8.9,5,74,2,22,20,3,2.59,22,5,17,1.91,0.19,18.8,8.7,10.1,1.14,-0.13
20,4,337,84.0,9.9,3.7,4,84,3,0,0,34,1.75,8,3,5,1.34,-0.47,7.5,3.1,4.4,1.17,-0.08
21,13,206,16.0,6.0,2.3,1,53,0,12,13,23,2.38,6,0,6,2.62,0.91,4.9,1.7,3.2,1.39,0.16
22,10,267,27.0,7.8,3.0,0,0,0,10,27,5,2.1,8,0,8,2.7,1.01,6.2,2.7,3.5,1.19,-0.05
23,10,161,16.0,4.7,1.8,0,0,0,10,16,9,1.9,6,0,6,3.35,1.67,5.3,1.4,3.9,2.18,0.98
24,4,46,12.0,1.3,0.5,0,0,0,4,12,23,3.0,4,0,4,7.83,6.15,1.4,0.8,0.7,1.31,0.07
25,1,23,23.0,0.7,0.3,0,0,0,1,23,36,1.0,0,0,0,0.0,-1.78,0.9,0.4,0.5,2.11,0.87
26,1,15,15.0,0.4,0.2,0,0,0,1,15,4,3.0,0,0,0,0.0,-1.77,0.3,0.0,0.3,1.76,0.52
27,1,5,5.0,0.1,0.1,0,0,0,1,5,16,3.0,1,0,1,18.0,16.26,0.3,0.0,0.3,5.27,4.03
28,36,"2,820",78.0,82.5,31.3,33,82,21,3,36,1,1.97,67,38,29,0.93,1.23,56.6,36.6,20.0,0.64,0.51
29,36,"2,602",72.0,76.1,28.9,32,77,11,4,34,0,2.06,62,31,31,1.07,1.51,50.7,29.6,21.1,0.73,0.77
30,32,"2,791",87.0,81.6,31.0,31,89,26,1,23,0,2.13,70,42,28,0.9,1.05,56.7,36.7,20.0,0.64,0.53
31,29,"2,609",90.0,76.3,29.0,29,90,28,0,0,2,2.14,57,34,23,0.79,0.35,48.7,34.7,14.0,0.48,-0.27
32,34,"2,512",74.0,73.5,27.9,29,80,15,5,37,0,1.94,56,31,25,0.9,0.7,51.7,31.1,20.6,0.74,0.72
33,35,"2,363",68.0,69.1,26.3,28,77,10,7,28,1,1.89,58,28,30,1.14,1.4,47.0,29.1,18.0,0.68,0.45
34,29,"2,185",75.0,63.9,24.3,26,81,13,3,29,4,2.07,49,27,22,0.91,0.54,41.8,26.7,15.1,0.62,0.21
35,29,"2,068",71.0,60.5,23.0,26,76,11,3,27,2,2.14,43,28,15,0.65,-0.15,38.4,27.5,10.9,0.48,-0.18
36,26,"2,121",82.0,62.0,23.6,24,86,19,2,28,1,2.04,51,27,24,1.02,0.81,43.1,27.1,16.0,0.68,0.35
37,31,"1,732",56.0,50.6,19.2,19,79,11,12,19,5,1.84,35,23,12,0.62,-0.18,34.2,26.2,8.0,0.42,-0.26
38,21,"1,619",77.0,47.3,18.0,19,84,15,2,10,3,1.81,31,24,7,0.39,-0.61,27.4,20.5,6.9,0.38,-0.31
39,24,"1,407",59.0,41.1,15.6,17,74,6,7,21,14,1.88,25,22,3,0.19,-0.88,23.3,17.7,5.6,0.36,-0.32
40,18,"1,275",71.0,37.3,14.2,14,82,10,4,33,1,2.0,32,19,13,0.92,0.33,27.3,15.7,11.6,0.82,0.44
41,20,"1,171",59.0,34.2,13.0,14,79,7,6,11,5,2.3,23,17,6,0.46,-0.38,22.1,16.3,5.8,0.44,-0.16
42,30,"1,478",49.0,43.2,16.4,13,83,7,17,23,3,1.9,25,23,2,0.12,-1.04,22.3,21.8,0.5,0.03,-0.91
43,20,"1,151",58.0,33.7,12.8,13,76,4,7,23,1,1.9,26,19,7,0.55,-0.25,25.8,14.6,11.2,0.88,0.49
44,24,"1,017",42.0,29.7,11.3,12,67,2,12,18,3,2.08,25,17,8,0.71,0.0,22.0,15.4,6.6,0.58,0.05
45,23,877,38.0,25.6,9.7,8,75,2,15,18,7,1.7,16,16,0,0.0,-0.96,16.5,11.6,4.9,0.5,-0.06
46,10,687,69.0,20.1,7.6,8,81,6,2,19,5,1.7,14,12,2,0.26,-0.56,10.6,10.8,-0.3,-0.03,-0.73
47,7,630,90.0,18.4,7.0,7,90,7,0,0,19,1.71,16,11,5,0.71,0.0,14.2,7.5,6.7,0.96,0.51
48,28,887,32.0,25.9,9.9,6,67,1,22,22,4,1.96,25,17,8,0.81,0.14,20.1,12.7,7.4,0.76,0.28
49,9,374,42.0,10.9,4.2,4,61,2,5,26,4,1.89,7,7,0,0.0,-0.8,7.6,4.7,2.9,0.7,0.17
50,11,319,29.0,9.3,3.5,3,61,1,8,17,9,2.55,7,4,3,0.85,0.15,5.8,4.7,1.1,0.3,-0.27
51,2,177,89.0,5.2,2.0,2,89,1,0,0,27,0.5,3,3,0,0.0,-0.75,2.9,2.4,0.5,0.25,-0.31
