player_id,goals,SOTs,SOTs_pct,shots_per90,SOT_per90,goals_per_shot,goals_per_SOT,avg_shot_dist,shots_fk,pens_scored,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
1,2,6,15.4,1.26,0.19,0.05,0.33,19.5,0,0,0,3.6,3.6,0.09,-1.6,-1.6
2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
3,2,12,30.0,1.26,0.38,0.05,0.17,18.2,0,0,0,5.1,5.1,0.13,-3.1,-3.1
4,13,29,37.7,2.58,0.97,0.17,0.45,11.8,0,0,0,14.3,14.3,0.19,-1.3,-1.3
5,13,13,25.0,1.83,0.46,0.06,0.23,29.5,12,10,10,10.1,2.3,0.04,2.9,0.7
6,24,44,41.9,3.56,1.49,0.21,0.5,14.2,0,2,3,17.6,15.3,0.15,6.4,6.7
7,5,19,37.3,2.21,0.82,0.1,0.26,21.0,3,0,0,2.9,2.7,0.05,2.1,2.3
8,1,6,40.0,0.6,0.24,0.07,0.17,13.3,0,0,0,1.2,1.2,0.08,-0.2,-0.2
9,2,5,50.0,0.37,0.19,0.2,0.4,15.7,0,0,0,1.2,1.2,0.12,0.8,0.8
10,3,6,40.0,0.57,0.23,0.2,0.5,12.0,0,0,0,1.6,1.6,0.11,1.4,1.4
11,0,5,33.3,0.81,0.27,0.0,0.0,18.7,0,0,0,0.7,0.7,0.05,-0.7,-0.7
12,4,6,25.0,1.32,0.33,0.17,0.67,11.8,0,0,0,2.3,2.3,0.09,1.7,1.7
13,1,3,30.0,0.57,0.17,0.1,0.33,12.3,0,0,0,0.6,0.6,0.06,0.4,0.4
14,0,6,27.3,1.15,0.31,0.0,0.0,17.1,0,0,0,1.0,1.0,0.05,-1.0,-1.0
15,2,4,33.3,1.19,0.4,0.17,0.5,12.7,0,0,0,0.9,0.9,0.07,1.1,1.1
16,6,13,40.6,3.02,1.23,0.19,0.46,11.4,0,0,0,7.1,7.1,0.22,-1.1,-1.1
17,1,4,26.7,1.72,0.46,0.07,0.25,27.1,1,0,0,0.6,0.6,0.04,0.4,0.4
18,2,5,29.4,2.01,0.59,0.06,0.2,16.4,2,1,1,3.2,2.5,0.14,-1.2,-1.5
19,5,9,52.9,1.91,1.01,0.29,0.56,11.5,0,0,0,5.0,5.0,0.29,0.0,0.0
20,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
21,0,0,0.0,0.44,0.0,0.0,0.0,20.2,0,0,0,0.1,0.1,0.09,-0.1,-0.1
22,0,0,0.0,1.69,0.0,0.0,0.0,19.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2
23,1,1,25.0,2.24,0.56,0.25,1.0,18.9,0,0,0,0.2,0.2,0.05,0.8,0.8
24,0,0,0.0,3.91,0.0,0.0,0.0,28.5,1,0,0,0.1,0.1,0.04,-0.1,-0.1
25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
26,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
27,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
28,3,9,20.5,1.4,0.29,0.07,0.33,20.1,0,0,0,3.2,3.2,0.07,-0.2,-0.2
29,12,31,47.7,2.25,1.07,0.18,0.39,15.7,0,0,0,8.0,8.0,0.12,4.0,4.0
30,5,16,29.1,1.77,0.52,0.07,0.25,20.7,2,1,2,4.9,3.4,0.06,0.1,0.6
31,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
32,9,24,34.3,2.51,0.86,0.13,0.38,17.1,0,0,0,10.0,10.0,0.14,-1.0,-1.0
33,15,29,40.3,2.74,1.1,0.15,0.38,12.6,2,4,5,14.2,10.2,0.14,0.8,0.8
34,1,8,38.1,0.86,0.33,0.05,0.13,18.3,0,0,0,1.3,1.3,0.06,-0.3,-0.3
35,6,14,35.0,1.74,0.61,0.15,0.43,16.6,0,0,0,3.7,3.7,0.09,2.3,2.3
36,4,7,41.2,0.72,0.3,0.24,0.57,9.9,0,0,0,3.7,3.7,0.22,0.3,0.3
37,1,10,31.3,1.66,0.52,0.03,0.1,25.4,4,0,0,1.7,1.7,0.05,-0.7,-0.7
38,0,1,20.0,0.28,0.06,0.0,0.0,12.7,0,0,0,0.6,0.6,0.12,-0.6,-0.6
39,1,1,25.0,0.26,0.06,0.25,1.0,19.8,0,0,0,0.3,0.3,0.07,0.7,0.7
40,2,5,45.5,0.78,0.35,0.18,0.4,12.4,0,0,0,1.6,1.6,0.14,0.4,0.4
41,0,0,0.0,0.46,0.0,0.0,0.0,11.0,0,0,0,0.5,0.5,0.08,-0.5,-0.5
42,0,5,35.7,0.85,0.3,0.0,0.0,20.7,0,0,0,0.6,0.6,0.04,-0.6,-0.6
43,2,1,9.1,0.86,0.08,0.09,1.0,21.6,1,1,1,1.7,0.9,0.08,0.3,0.1
44,1,8,28.6,2.48,0.71,0.04,0.13,17.7,0,0,0,1.7,1.7,0.06,-0.7,-0.7
45,6,12,54.5,2.26,1.23,0.27,0.5,11.3,0,0,0,4.9,4.9,0.23,1.1,1.1
46,0,0,0.0,0.26,0.0,0.0,0.0,10.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1
47,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
48,6,14,63.6,2.23,1.42,0.27,0.43,13.9,0,0,0,3.8,3.8,0.17,2.2,2.2
49,0,0,0.0,0.48,0.0,0.0,0.0,11.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
50,0,4,80.0,1.41,1.13,0.0,0.0,16.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2
